Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Dataset
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,Breast Cancer
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826,Breast Cancer
XGBoost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9933862433862434,Breast Cancer
Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313,Breast Cancer
Random Forest,0.819672131147541,0.7619047619047619,0.9696969696969697,0.8533333333333334,0.9063852813852814,Heart Disease
SVM,0.819672131147541,0.775,0.9393939393939394,0.8493150684931506,0.8831168831168832,Heart Disease
Logistic Regression,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8690476190476191,Heart Disease
XGBoost,0.7868852459016393,0.75,0.9090909090909091,0.821917808219178,0.8495670995670995,Heart Disease
XGBoost,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.8070370370370371,Diabetes
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,Diabetes
Random Forest,0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859,0.8170370370370371,Diabetes
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,Diabetes
